colecta,latitud,longitud,elevacion,uv1,uv2,dap,altura,posicion_copa,forma_copa,exposicion,e1,e2,e3,e4,e5,espesor,a1,a2,a3,a4,a5,area,p1,p2,p3,p4,p5,peso,s1,s2,s3,s4,s5,sla,hojas_peso,extracto_peso,rendimiento
1,-14.74115303,-68.94089903,2040.48,2.44,0.504,10.5,7.5,1,1,T,36,39,33,42,37,37.4,1.363,1.641,1.675,1.719,1.428,1.5652,0.031,0.04,0.041,0.039,0.032,0.037,43.96774194,41.025,40.85365854,44.07692308,44.625,42.76502732,85,5.2361,6.1601
2,-14.74115303,-68.94089903,2040.48,2.349,0.479,5.9,6,1,1,T,44,36,42,37,39,39.6,1.584,1.693,1.435,0.989,1.729,1.486,0.033,0.042,0.03,0.021,0.044,0.034,48,40.30952381,47.83333333,47.0952381,39.29545455,43.70588235,85,6.5727,7.7326
3,-14.74115303,-68.94089903,2040.48,2.308,0.55,29.5,11,1,1,T,33,34,35,36,37,35,0.808,1.442,1.352,1.156,0.934,1.1384,0.016,0.025,0.027,0.022,0.025,0.023,50.5,57.68,50.07407407,52.54545455,37.36,49.49565217,70.72,5.708,8.0713
4,-14.74115303,-68.94089903,2040.48,2.246,0.453,5.9,4,1,1,T,35,41,46,43,NA,41.25,1.27,1.177,1.379,1.691,NA,1.37925,0.032,0.03,0.037,0.033,NA,0.033,39.6875,39.23333333,37.27027027,51.24242424,NA,41.79545455,63,8.32,13.2063
6,-14.74100199,-68.94045504,2040.2,2.08,0.473,9.3,8,1,3,N,42,42,37,32,33,37.2,1.521,2.129,1.763,1.751,2.063,1.8454,0.035,0.051,0.036,0.032,0.045,0.04,43.45714286,41.74509804,48.97222222,54.21052632,45.84444444,46.29703964,68.9,7.4333,10.7885
12,-14.74102202,-68.94054598,2037.57,1.84,0.319,9.8,6,1,1,N,28,30,34,35,37,32.8,1.443,1.676,1.566,2.908,2.624,2.0434,0.021,0.029,0.027,0.055,0.053,0.037,68.71428571,57.79310345,58,52.87272727,49.50943396,55.22702703,66,5.0117,7.5935
5,-14.74114004,-68.94069702,2036.87,2.083,0.425,8.6,9,1,2,N,31,27,26,28,30,28.4,0.895,0.999,1.388,1.311,1.31,1.1806,0.018,0.02,0.029,0.029,0.031,0.025,49.72222222,49.95,47.86206897,45.20689655,42.25806452,46.48031496,64.05,4.5903,7.1667
13,-14.74135403,-68.94084999,2036.58,1.819,0.364,23,16,1,2,S,31,32,31,27,NA,30.25,1.525,1.53,1.237,1.817,2.143,1.6504,0.031,0.027,0.025,0.034,0.042,0.032,49.19354839,56.66666667,49.48,53.44117647,51.02380952,51.89937107,60,4.1679,6.9465
7,-14.74103501,-68.94032696,2029.57,2.078,0.409,7,6,1,2,N,38,41,50,36,NA,41.25,1.281,1.751,1.438,1.743,NA,1.55325,0.032,0.049,0.037,0.047,NA,0.041,40.03125,35.73469388,38.86486486,37.08510638,NA,37.65454545,103,8.904,8.6447
8,-14.74093803,-68.94014801,2025.42,2.069,0.495,9.3,6,1,2,N,33,38,38,39,38,37.2,2.091,2.301,2.091,2.903,3.019,2.481,0.042,0.042,0.042,0.059,0.071,0.051,49.78571429,54.78571429,49.78571429,49.20338983,42.52112676,48.45703125,50,3.1959,6.3918
